vacancy_title,skills,vacancy_url
"Python, Javascript Mentor","Python,Git,FastAPI,HTML,OOP,AWS,Docker,JavaScript,CSS,Django",https://www.work.ua/jobs/5734263/
"Senior Software engineer (Node, Python, LLM)","Python,SQL,RESTful,AWS,Docker",https://www.work.ua/jobs/5733693/
"Викладач в всеукраїнську школу програмування (Scratch, Roblox, Front-end, Python)","Python,HTML,Scratch,CSS,JavaScript",https://www.work.ua/jobs/5732860/
Python developer,"Docker,Git,Python,SQL",https://www.work.ua/jobs/5706480/
Python Developer,"PostgreSQL,Python,Git,AWS,MySQL,Docker,MongoDB,JavaScript",https://www.work.ua/jobs/5536195/
"Python Developer (Scraping), Data engineer","HTML,Python,JavaScript",https://www.work.ua/jobs/5733831/
"Викладач Scratch, Python у всеукраїнську IT-школу","Python,HTML,Scratch,CSS,JavaScript",https://www.work.ua/jobs/5733816/
"Full stack Python DRF, VueJS developer","PostgreSQL,Python,JavaScript,Django",https://www.work.ua/jobs/5735108/
Python-програміст,"Python,Django",https://www.work.ua/jobs/5735794/
Intern Python developer,"Python,Git",https://www.work.ua/jobs/5644457/
Python Django Developer,"PostgreSQL,Python,Git,SQL,RESTful,Docker,Django",https://www.work.ua/jobs/5739159/
Senior Python Developer,"PostgreSQL,Python,Redis,SQL,FastAPI,Docker",https://www.work.ua/jobs/5674106/
Intern Python Developer,Python,https://www.work.ua/jobs/5715805/
"Викладач у дитячу ІТ-школу програмування (Роблокс, Python)",Python,https://www.work.ua/jobs/4609734/
Senior Python developer,"Python,AWS",https://www.work.ua/jobs/5738669/
Python Developer,"PostgreSQL,Python,Git,RESTful,MySQL,Docker,JavaScript",https://www.work.ua/jobs/5088702/
Python developer,"Python,Git,FastAPI,HTML,CSS,JavaScript,Django",https://www.work.ua/jobs/5721697/
"Fullstack Python, React Developer","ORM,PostgreSQL,Python,FastAPI,AWS,Docker,MongoDB,CSS,JavaScript",https://www.work.ua/jobs/5017342/
Викладач програмування у дитячу школу (Python),"Python,HTML,Scratch,CSS,JavaScript",https://www.work.ua/jobs/5248983/
"Викладач з Python, Roblox, Scratch, Web dev (Front end), UX/UI в дитячу онлайн-школу","Scratch,Python",https://www.work.ua/jobs/5724321/
"Викладач в всеукраїнську школу програмування (Scratch, Roblox, Front-end, Python)","Python,HTML,Scratch,CSS,JavaScript",https://www.work.ua/jobs/5726874/
Junior Python Developer (Trainee),"Python,Git,SQL,RESTful,HTML,Docker,JavaScript,CSS,Django",https://www.work.ua/jobs/5727804/
Middle Python Developer,"Python,Redis,RESTful,Docker,Scratch",https://www.work.ua/jobs/4821099/
Junior Python Developer,"Python,RESTful",https://www.work.ua/jobs/5728732/
"Викладач інформатики, робототехніки (Minecraft, Python)",Python,https://www.work.ua/jobs/5732312/
Full-stack програміст на Python (Strong Junior),"Python,SQL,JavaScript,Django,jQuery",https://www.work.ua/jobs/5055123/
Python developer (Middle/Senior),"ORM,PostgreSQL,Python,Git,Django",https://www.work.ua/jobs/5722903/
"Викладач у дитячу IT-школу програмування (геймдизайн, Scratch, Python, комп'ютерна грамотність)","Python,HTML,Scratch,CSS,JavaScript",https://www.work.ua/jobs/5527582/
"Full Stack Web Developer (Python, Angular 2+)","ORM,PostgreSQL,Python,Git,SQL,RESTful,HTML,OOP,MySQL,JavaScript,CSS,Django,jQuery",https://www.work.ua/jobs/2714157/
"AQA Engineer (Python, Playwright)","Python,Git,AWS,JavaScript,Django",https://www.work.ua/jobs/5362234/
Python-програміст,"PostgreSQL,Python,SQL,AWS,Django",https://www.work.ua/jobs/5704122/
Викладач IT (Python/C++),Python,https://www.work.ua/jobs/5705094/
Викладач у дитячу IT-школу програмування (Python),"HTML,CSS,Python,JavaScript",https://www.work.ua/jobs/5283314/
"Викладач у школу програмування (Python, Roblox Studio, Scratch, комп'ютерна грамотність)","Python,HTML,Scratch,CSS,JavaScript",https://www.work.ua/jobs/4912146/
"Викладач програмування у дитячу школу (Python, Scratch)",Python,https://www.work.ua/jobs/5386269/
Python Developer,"PostgreSQL,Python,Git,SQL,FastAPI,AWS,Docker,MongoDB",https://www.work.ua/jobs/5709947/
Full Stack Python developer,"PostgreSQL,Python,SQL,RESTful,Redis,HTML,OOP,Docker,CSS,JavaScript,Django",https://www.work.ua/jobs/5706731/
"Викладач з програмування в онлайн-школу (Roblox, Python, Scratch)","Scratch,Python",https://www.work.ua/jobs/5707720/
Python-програміст,"PostgreSQL,Python,RESTful,SQL,FastAPI,AWS,Docker,MongoDB,Django",https://www.work.ua/jobs/5712801/
